연도,양파,돼지고기,밀가루,자장면,자장면 가격,양파 가격,돼지고기 가격,밀가루 가격
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,
1975,6.079,8.361,9.754,2.894,150.343,226.99,169.896,132.264
1976,7.141,10.893,10.368,3.193,165.876,266.645,221.346,140.59
1977,5.421,11.235,10.145,4.078,211.852,202.42,228.295,137.566
1978,11.372,15.103,9.961,4.277,222.19,424.63,306.893,135.071
1979,11.324,14.592,10.503,5.823,302.505,422.838,296.509,142.421
1980,14.732,17.116,15.644,7.294,378.923,550.093,347.797,212.133
1981,23.630,28.714,20.180,9.857,512.071,882.344,583.468,273.641
1982,20.018,28.845,19.690,11.051,574.099,747.472,586.13,266.996
1983,12.255,26.567,18.396,11.015,572.229,457.602,539.841,249.45
1984,26.015,22.681,18.197,11.907,618.569,971.4,460.878,246.751
1985,24.533,28.103,19.091,12.877,668.96,916.062,571.053,258.874
1986,19.110,30.760,20.347,13.482,700.39,713.567,625.043,275.905
1987,16.793,25.575,19.548,14.123,733.69,627.051,519.684,265.071
1988,18.005,25.050,19.147,15.878,824.862,672.307,509.016,259.633
1989,19.383,23.824,20.808,18.781,975.673,723.761,484.104,282.156
1990,30.171,33.699,22.869,22.723,1180.46,1126.59,684.764,310.104
1991,40.579,40.306,23.353,27.511,1429.2,1515.22,819.018,316.667
1992,20.209,33.981,25.213,30.727,1596.27,754.604,690.494,341.888
1993,23.275,33.041,26.205,33.227,1726.14,869.088,671.393,355.34
1994,51.553,34.239,26.259,36.644,1903.66,1924.99,695.736,356.072
1995,30.607,33.453,27.002,39.060,2029.17,1142.87,679.765,366.147
1996,37.689,31.610,32.720,42.461,2205.85,1407.31,642.315,443.683
1997,41.112,35.015,35.230,44.954,2335.36,1535.12,711.505,477.719
1998,41.313,36.607,52.874,51.272,2663.58,1542.63,743.854,716.971
1999,43.584,37.931,43.771,49.459,2569.4,1627.43,770.758,593.535
2000,45.107,39.348,41.324,50.162,2605.92,1684.3,799.551,560.353
2001,40.487,42.695,43.975,50.789,2638.49,1511.78,867.562,596.301
2002,39.070,46.325,46.080,53.786,2794.18,1458.87,941.324,624.845
2003,71.957,47.554,52.109,59.413,3086.51,2686.87,966.297,706.598
2004,58.752,59.863,57.473,60.809,3159.03,2193.8,1216.42,779.334
2005,55.173,63.445,60.638,61.066,3172.38,2060.16,1289.2,822.251
2006,65.321,64.296,62.316,61.870,3214.15,2439.09,1306.49,845.005
2007,59.592,61.388,67.962,64.180,3334.15,2225.17,1247.4,921.565
2008,62.502,71.930,108.732,72.575,3770.27,2333.82,1461.62,1474.41
2009,72.765,78.121,99.357,73.847,3836.35,2717.05,1587.42,1347.28
2010,74.951,73.382,84.945,74.768,3884.2,2798.67,1491.12,1151.85
2011,71.141,93.981,89.419,79.995,4155.74,2656.4,1909.69,1212.52
2012,76.058,81.230,90.112,80.943,4204.99,2840.01,1650.59,1221.92
2013,110.109,75.940,98.983,82.353,4278.24,4111.47,1543.1,1342.21
2014,64.962,88.027,101.473,83.397,4332.47,2425.68,1788.71,1375.97
2015,87.010,91.251,100.573,85.703,4452.27,3248.95,1854.22,1363.77
2016,93.144,91.841,99.484,88.108,4577.21,3478,1866.21,1349
2017,100.359,97.522,98.352,90.933,4723.97,3747.41,1981.65,1333.65
2018,80.856,93.981,99.398,94.982,4934.31,3019.16,1909.69,1347.84
2019,68.748,90.311,101.074,98.589,5121.7,2567.05,1835.12,1370.56
2020,100.000,100.000,100.000,100.000,5195,3734,2032,1356
2021,103.560,111.110,100.670,103.070,5354.49,3866.93,2257.76,1365.09
2022,94.420,120.090,128.830,114.200,5932.69,3525.64,2440.23,1746.93
